Test case ID,Test case description,AADHAR,NAME,PAN,UAM,CIBIL,CRIF,DOB (MM/DD/YYYY),CHEQUE RETURNS- insufficient funds(ISF),CHEQUE RETURN- any other reason,Month 1 avg balance,Month 2 avg balance,Month 3 avg balance,Month 4 avg balance,Month 5 avg balance,Month 6 avg balance,20% of avg 6 month balance < 50000,Expected result,Actual result,Comments
28,Age less than 25 years,257104864355,Adiga Upadhya,BNZPM2502G,GJ11A0000197,743,702,1/18/1997,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
29,Age more than 55 years,257104864356,Vasudev M,BNZPM2502H,GJ11A0000198,743,702,5/12/1966,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
30,Age more than 55 years,257104864357,Karthikeya S U,BNZPM2502I,GJ11A0000199,743,702,12/22/1959,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
,,,,,,,,,,,,,,,,,,,,
,Individual/proprietary ,,,,,,,,,,,,,,,,,,,
32,PAN 4th letter differ,257104864356,,BNZAM2502F,GJ11A0000200,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
33,PAN 4th letter differ,257104864357,,BNZAM2502G,GJ11A0000201,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
34,PAN 4th letter differ,257104864358,,BNZAM2502H,GJ11A0000202,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
35,PAN 4th letter differ,257104864359,,BNZAM2502I,GJ11A0000203,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
36,PAN 4th letter differ,257104864360,,BNZAM2502J,GJ11A0000204,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
37,PAN 4th letter differ,257104864361,,BNZAM2502K,GJ11A0000205,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
38,PAN 4th letter differ,257104864362,,BNZAM2502L,GJ11A0000206,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
39,PAN 4th letter differ,257104864363,,BNZAM2502M,GJ11A0000207,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
40,PAN 4th letter differ,257104864364,,BNZAM2502N,GJ11A0000208,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
41,PAN 4th letter differ,257104864365,,BNZAM2502O,GJ11A0000209,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
42,PAN 4th letter differ,257104864366,,BNZAM2502P,GJ11A0000210,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
,,,,,,,,,,,,,,,,,,,,
,AADHAR,,,,,,,,,,,,,,,,,,,
43,Invalid Aadhar number,121234567890,,BNZPM2501F,GJ11A0000170,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
44,Invalid Aadhar number,9876u8900976,,BNZPM2501F,GJ11A0000170,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,,Ineligible,,
